alias,activities,address,venue_id,venue_name,location_name,display_rating_total,display_rating_average
cryo-miami-coral-gables,Cryotherapy,"Address(address_line0=, address_line1=430 S Dixie Hwy, address_line2=, city=Coral Gables, state=FL, zip_code=33146)",40338,Cryo Miami,Coral Gables,1000+,4.830357
pilates-platinum-alamo-heights-san-antonio,Pilates,"Address(address_line0=, address_line1=5310 Broadway Street, address_line2=, city=San Antonio, state=TX, zip_code=78209)",47990,Pilates Platinum,,1000+,4.9242806
cyclebar-carmel-clay-township,Cycling,"Address(address_line0=, address_line1=12697 N Pennsylvania St, address_line2=, city=Clay Township, state=IN, zip_code=46032)",38061,CycleBar,Carmel,1000+,4.8133616
eaton-wellness-dc-washington,Meditation,"Address(address_line0=, address_line1=1201 K Street Northwest, address_line2=, city=Washington, state=DC, zip_code=20005)",50444,Eaton Wellness DC,Downtown,500+,4.8808374
cyclebar-crocker-park-westlake,Cycling,"Address(address_line0=, address_line1=236 Market St., address_line2=, city=Westlake, state=OH, zip_code=44145)",42129,CycleBar,,5000+,4.8660975
black-swan-yoga-east-austin,Yoga,"Address(address_line0=, address_line1=913 East Cesar Chavez Street, address_line2=, city=Austin, state=TX, zip_code=78702)",54703,Black Swan Yoga,East Austin,5000+,4.8891616
carries-pilates-plus-los-angeles,"Pilates,Livestream pilates","Address(address_line0=null, address_line1=7960 W 3rd St, address_line2=null, city=Los Angeles, state=CA, zip_code=90048)",23686,Carrie's Pilates Plus,West Hollywood,5000+,4.848462
hy-lo-fitness-mount-pleasant,"Barre,Strength Training,Yoga","Address(address_line0=, address_line1=880 Allbritton Boulevard, address_line2=, city=Mount Pleasant, state=SC, zip_code=29464)",45507,HY | LO Fitness ,,5000+,4.8895473
black-swan-yoga-downtown-at-orchard-austin,Yoga,"Address(address_line0=null, address_line1=403 Orchard St, address_line2=null, city=Austin, state=TX, zip_code=78703)",30220,Black Swan Yoga,Downtown,5000+,4.837475
renegade-fitcamp-north-park-san-diego,Boxing,"Address(address_line0=, address_line1=3312 University Avenue, address_line2=, city=San Diego, state=CA, zip_code=92104)",49338,Renegade Fitcamp,North Park,5000+,4.9561224
session-pilates-lovers-lane-dallas,Pilates,"Address(address_line0=, address_line1=4520 Lovers Lane, address_line2=, city=Dallas, state=TX, zip_code=75225)",51183,SESSION Pilates ,Uptown area,5000+,4.9313726
fit-social-club-dallas,"Strength Training,Cycling","Address(address_line0=, address_line1=3400 Carlisle Street, address_line2=, city=Dallas, state=TX, zip_code=75201)",56421,Fit Social Club,Uptown / West Village,5000+,4.9756184
bayshore-fit-tampa,"Strength Training,Yoga,Cycling","Address(address_line0=null, address_line1=2907 W Bay to Bay Blvd, address_line2=, city=Tampa, state=FL, zip_code=33629)",25859,Bayshore Fit,Palma Ceia,1000+,4.811104
restore-hyper-wellness-cryotherapy-river-oaks-houston,Cryotherapy,"Address(address_line0=, address_line1=1944 West Gray Street #A, address_line2=, city=Houston, state=TX, zip_code=77019)",48659,Restore Hyper Wellness + Cryotherapy,River Oaks,1000+,4.850192
studio-epix-centre-ville-montreal,Strength Training,"Address(address_line0=, address_line1=345 Rue de la Gauchetiere Ouest, address_line2=, city=Montreal, state=QC, zip_code=H2Z 0A2)",58825,Studio EPIX,,1000+,4.8712616
yes-yoga-new-orleans,Yoga,"Address(address_line0=, address_line1=8338 Oak St, address_line2=, city=New Orleans, state=LA, zip_code=70118)",37111,Yes Yoga,Uptown,5000+,4.8414335
pure-sweat-sauna-studio-dallas-ave-nashville,Sauna,"Address(address_line0=, address_line1=1204 Dallas Avenue, address_line2=, city=Nashville, state=TN, zip_code=37212)",67958,Pure Sweat Sauna Studio,12 South / Berry Hill / Waverly,100+,4.9544516
just-ride-cycling-studio-center-township,Cycling,"Address(address_line0=, address_line1=1125 E Brookside Ave, address_line2=, city=Center Township, state=IN, zip_code=46202)",38102,Just Ride Cycling Studio,Downtown,1000+,4.8804007
boxunion-santa-monica-livestream,Boxing,"Address(address_line0=, address_line1=1755 Ocean Ave, address_line2=, city=Santa Monica, state=CA, zip_code=90401)",36830,BoxUnion,Santa Monica,5000+,4.89992
creative-yoga-lexington,Yoga,"Address(address_line0=, address_line1=660 E. Main St. , address_line2=, city=Lexington, state=KY, zip_code=40502)",47438,Creative Yoga,,1000+,4.907145
the-vive-hydration-therapy-miami,Sports recovery,"Address(address_line0=, address_line1=3616 NE 2nd Ave. Unit B, address_line2=, city=Miami, state=FL, zip_code=33137)",52514,the VIVe Hydration + Therapy,,100+,4.9595017
pearl-street-fitness-denver,"Low-credit livestreams,Rowing,Boxing,Strength Training,Martial Arts","Address(address_line0=null, address_line1=1107 S Pearl St, address_line2=, city=Denver, state=CO, zip_code=80210)",24946,Pearl Street Fitness,Wash Park,5000+,4.8904953
mojo-cycling-studio-kansas-city,Cycling,"Address(address_line0=null, address_line1=4722 Broadway St, address_line2=Suite 220, city=Kansas City, state=MO, zip_code=64112)",26439,Mojo Cycling Studio,Plaza Area,5000+,4.855155
zweet-sport-total-fitness-alexandria,"Livestream HIIT,Strength Training,Cycling","Address(address_line0=, address_line1=727 N Henry Street, address_line2=, city=Alexandria, state=VA, zip_code=22314)",34530,Zweet Sport Total Fitness,Alexandria,5000+,4.9098167
black-swan-yoga-north-austin,Yoga,"Address(address_line0=null, address_line1=1417 W Anderson Ln, address_line2=null, city=Austin, state=TX, zip_code=78757)",30219,Black Swan Yoga,Crestview / Brentwood,5000+,4.8286567
kamps-madison,"Livestream HIIT,Strength Training,Livestream strength training","Address(address_line0=, address_line1=435 North Frances Street, address_line2=, city=Madison, state=WI, zip_code=53703)",42328,Kamps,,5000+,4.892192
remedy-pilates-and-barre-arcadia-phoenix,"Barre,Pilates","Address(address_line0=, address_line1=3629 East Indian School Road, address_line2=, city=Phoenix, state=AZ, zip_code=85018)",45717,Remedy Pilates and Barre,Arcadia,1000+,4.9621935
yogasix-st-louis-saint-louis,"Low-credit livestreams,Yoga","Address(address_line0=null, address_line1=5724 Oakland Ave, address_line2=null, city=Saint Louis, state=MO, zip_code=63110)",30615,YogaSix,The Hill,5000+,4.766551
celsius-cryotherapy-seattle,Cryotherapy,"Address(address_line0=, address_line1=229 Queen Anne Avenue North, address_line2=, city=Seattle, state=WA, zip_code=98109)",42584,Celsius Cryotherapy,Queen Anne,1000+,4.7565856
bikeorbar-buffalo,"Dance,Low-credit livestreams,Rowing,Boxing,Barre,Strength Training,Yoga,Cycling","Address(address_line0=, address_line1=904 Elmwood Avenue, address_line2=, city=Buffalo, state=NY, zip_code=14222)",42200,BikeOrBar,,5000+,4.8422093
