alias,activities,address,venue_id,venue_name,location_name,display_rating_total,display_rating_average
doma-studio-jakarta-selatan,"Low-credit livestreams,Pilates,Livestream pilates,Strength Training,Yoga,Livestream strength training","Address(address_line0=, address_line1=Jl. Muria No.25, address_line2=Pasar Manggis Kecamatan Setiabudi, city=Jakarta Selatan, state=, zip_code=12960)",50953,Doma Studio,,1000+,4.870788
breathe-studio-jakarta,Pilates,"Address(address_line0=, address_line1=Jl. Senopati No.41C, RT.6/RW.3, Senayan, address_line2=, city=Jakarta, state=, zip_code=12110)",53423,Breathe Studio,,1000+,4.8523765
yogaplus-virtual-studio-taguig-city,"Pilates,Yoga","Address(address_line0=, address_line1=Fort Legend Tower, BGC, address_line2=, city=Taguig City, state=, zip_code=1634)",51228,YogaPlus ,,5000+,4.8403277
fresh-face-bar-richmond,"Facial,Massage","Address(address_line0=, address_line1=134 Bridge Rd., address_line2=, city=Richmond, state=, zip_code=3121)",69144,Fresh Face Bar,,100+,4.902439
good-vibes-yoga-collingwood,Yoga,"Address(address_line0=, address_line1=62 Easey St, address_line2=, city=Collingwood, state=, zip_code=3066)",41047,Good Vibes Yoga - Collingwood,Collingwood,5000+,4.845309
union-yoga-jakarta,Yoga,"Address(address_line0=, address_line1=Jl Wijaya II/No.73 Kebayoran Baru, address_line2=, city=Jakarta, state=, zip_code=12160)",50858,Union Yoga,,1000+,4.879658
o2-skin-lab-taguig,Facial,"Address(address_line0=O2 Skin Lab, address_line1=Unit 1218 High Street South Corporate Tower 1, 26th, corner 9th Ave, address_line2=, city=Taguig, state=, zip_code=1634)",71850,O2 Skin Lab,,100+,4.865471
flyweight-taguig,"Boxing,Strength Training","Address(address_line0=, address_line1=Forbestown Road, address_line2=, city=Taguig, state=, zip_code=Taguig)",60450,Flyweight,,1000+,4.8583975
the-unit-kuala-lumpur,Strength Training,"Address(address_line0=, address_line1=Unit 6-1, Jalan Telawi 2, Bangsar, address_line2=, city=Kuala Lumpur, state=, zip_code=59100)",64470,The Unit,,1000+,4.813005
jeda-wellnest-jakarta,Yoga,"Address(address_line0=, address_line1=JL. K.H. Wahid Hasyim No. 47, address_line2=, city=Jakarta, state=, zip_code=10350)",53448,Jeda Wellnest,,1000+,4.891294
laca-studio-jakarta,"Dance,Boxing,Strength Training,Yoga,Martial Arts","Address(address_line0=, address_line1=Jl. Asem 2 No. 10, address_line2=, city=Jakarta, state=, zip_code=00000)",53453,LACA Studio,,1000+,4.884521
empire-fit-club-jakarta,Strength Training,"Address(address_line0=Gelora Bung Karno Main Stadium Zone 7 , address_line1=Jl. Pintu Satu Senayan, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta, address_line2=, city=Jakarta, state=, zip_code=10270)",50964,Empire Fit Club,,1000+,4.8934913
dr-crb-taguig,Facial,"Address(address_line0= The Trade & Financial Tower, address_line1=1608 32nd St. 7th Ave., address_line2=, city=Taguig , state=, zip_code=Taguig)",60274,Dr. CRB,,100+,4.8062825
one-hot-yoga-and-pilates-potts-point,"Pilates,Yoga","Address(address_line0=, address_line1=34 Kellett St, address_line2=, city=Potts Point, state=, zip_code=2011)",40947,One Hot Yoga & Pilates,Potts Point,5000+,4.804218
