rowstudio-check-location-amsterdam,"Rowing,Low-credit livestreams,Livestream strength training","Address(address_line0=, address_line1=Stadhouderskade 155, address_line2=, city=Amsterdam, state=, zip_code=1074 BC)",59565,RowStudio,,5000+,4.7547092
the-secret-boxing-gym-london,"Boxing,Strength Training","Address(address_line0=, address_line1=2 London Bridge, address_line2=, city=London, state=, zip_code=SE1 9RA)",54930,The Secret Boxing Gym,,1000+,4.7667804
toniq-life-bath,Strength Training,"Address(address_line0=, address_line1=5 Green Park House, address_line2=, city=Bath, state=, zip_code=BA1 1BQ)",42841,TONIQ Life,Bath,500+,4.846626
un1t-london-bridge,"Low-credit livestreams,Strength Training,Livestream strength training","Address(address_line0=, address_line1=140-148 Borough High Street, address_line2=, city=London, state=, zip_code=SE1 1LB)",48299,UN1T ,,5000+,4.850682
london-cryo-belgravia,"Cryotherapy,Sauna,Sports recovery","Address(address_line0=, address_line1=15c Eccleston Place, address_line2=, city=London, state=, zip_code=SW1W 9NF)",67991,London Cryo,Belgravia,100+,4.87234
barrys-oslo,"Strength Training,Running","Address(address_line0=, address_line1=29 Parkveien, address_line2=, city=Oslo, state=, zip_code=0350)",58385,Barry's,,1000+,4.6197815
rocycle-city-amsterdam,Cycling,"Address(address_line0=, address_line1=12 Nieuwe Passeerdersstraat, address_line2=, city=Amsterdam, state=, zip_code=1016 XP)",61014,Rocycle ,,5000+,4.6428795
gfit-london,Strength Training,"Address(address_line0=, address_line1=168 Holland Park Avenue Basement, address_line2=, city=London, state=, zip_code=W11 4UH)",42624,G:FIT LONDON,Holland Park,5000+,4.900802
boom-cycle-waterloo-london,Cycling,"Address(address_line0=, address_line1=4 Milner Place, Waterloo, Southwark, address_line2=, city=London, state=, zip_code=SE1 7PE)",60292,Boom Cycle ,Waterloo,5000+,4.6771493
ashanti-treatment-room-london-vgdq,"Facial,Massage","Address(address_line0=, address_line1=17 Leyden Street, Spitalfields, London, E1 7LE, United Kingdom, address_line2=, city=London, state=, zip_code=E1 7LE)",51631,Ashanti Treatment Room,Spitalfields,1000+,4.6627393
barrys-barcode-oslo,"Strength Training,Running","Address(address_line0=, address_line1=25 Trelastgata, address_line2=, city=Oslo, state=, zip_code=0191)",58384,Barry's,,1000+,4.665781
kxu-london,"Strength Training,Cycling","Address(address_line0=, address_line1=241 Pavilion Rd, address_line2=, city=London, state=LND, zip_code=SW1X 0BP)",37405,KXU,Chelsea,5000+,4.749938
the-nail-garden-london,"Pedicure,Manicure","Address(address_line0=, address_line1=23 Rosebery Avenue, address_line2=, city=London, state=, zip_code=EC1R 4SP)",60258,The Nail Garden,Clerkenwell,100+,4.678125
rumble-gym-london,"Free livestreams,Strength Training,Livestream strength training,Cycling","Address(address_line0=Ground Floor, address_line1=Labyrinth Tower, Dalston Square Dalston, address_line2=, city=London, state=null, zip_code=E8 3GP)",71039,Rumble Gym,Dalston,5000+,4.7120824
movements-yoga-amsterdam,"Pilates,Yoga","Address(address_line0=null, address_line1=Overtoom 230, address_line2=null, city=Amsterdam, state=null, zip_code=1054 HZ)",53386,Movements Yoga,,5000+,4.6867003
rocycle-oost-amsterdam,Cycling,"Address(address_line0=, address_line1=Eerste Oosterparkstraat 92, address_line2=, city=Amsterdam, state=, zip_code=1091 HE)",61028,Rocycle,,5000+,4.621953
digme-fitness-fitzrovia,"Low-credit livestreams,Livestream HIIT,Livestream cycling,Cycling","Address(address_line0=Unit 9, address_line1=Newman St, address_line2=Rathbone Square, city=Fitzrovia, state=, zip_code=W1T 1FB)",42512,Digme Fitness,Fitzrovia,5000+,4.680208
